tag,patterns,responses,content
L19837, Just in case I don't have a chance to say goodbye I want you to know that I haven't spent so many pleasant hours for many years., That's a very nice compliment and I'd like to say that...you've done the same for me.,
L19836, No. I'm all alone., Just in case I don't have a chance to say goodbye I want you to know that I haven't spent so many pleasant hours for many years.,
L19835, I'm sure we'll both make it...but just in case one of us...well is there a message you'd like me to give someone?, No. I'm all alone.,
L19714, That's a lovely name. Mine's Milton...Milt Ettenhenim. But my friends call me 'Bubbles.', I'm sure we'll both make it...but just in case one of us...well is there a message you'd like me to give someone?,
L19713, Mine's Eleanor. Eleanor Schiff., That's a lovely name. Mine's Milton...Milt Ettenhenim. But my friends call me 'Bubbles.',
L19712, You know here we are having coffee together and discussing education and business and economy...and we don't even know each other's names...full names I mean., Mine's Eleanor. Eleanor Schiff.,
L19711, I wish I could fool myself into believing that that's the reason. The truth of the matter is nobody ever asked me., You know here we are having coffee together and discussing education and business and economy...and we don't even know each other's names...full names I mean.,
L19710, I know the answer -- Career. A smart woman like you became so involved in your work you didn't have time for marriage., I wish I could fool myself into believing that that's the reason. The truth of the matter is nobody ever asked me.,
L19709, Well I'm afraid that's a question that's all too easy to answer., I know the answer -- Career. A smart woman like you became so involved in your work you didn't have time for marriage.,
L19708, But I think it's time we stopped talking about me. A woman like you -- why haven't you ever married?, Well I'm afraid that's a question that's all too easy to answer.,
L19707, Well after a thing like that you wouldn't be expected to., But I think it's time we stopped talking about me. A woman like you -- why haven't you ever married?,
L19706, After my wife died I felt like a fifth wheel. You know so many years being with one person -- a very wonderful person -- makes you always think of yourself as part of a pair...When Ethel passed away I was lost. I couldn't function socially and I couldn't function in business., Well after a thing like that you wouldn't be expected to.,
L19402, No. I'm from Washington D.C. I'm a lobbyist for the Small Businessmen's Assocation., After my wife died I felt like a fifth wheel. You know so many years being with one person -- a very wonderful person -- makes you always think of yourself as part of a pair...When Ethel passed away I was lost. I couldn't function socially and I couldn't function in business.,
L19401, Well it really wasn't a vacation. You see I'm a teacher in the New York City school system and I was attending a seminar on visual aids to education. Are you from L.A.?, No. I'm from Washington D.C. I'm a lobbyist for the Small Businessmen's Assocation.,
L19400, Were you vacationing in Los Angeles?, Well it really wasn't a vacation. You see I'm a teacher in the New York City school system and I was attending a seminar on visual aids to education. Are you from L.A.?,
L19399, No thank you. I take it black. Like my men., Were you vacationing in Los Angeles?,
L19398, Thank you. Cream?, No thank you. I take it black. Like my men.,
L19397, Ah won't you sit down?, Thank you. Cream?,
L19396, That's very nice of you. Thank you., Ah won't you sit down?,
L19395, I happened to be passing and I thought you might like some corfee., That's very nice of you. Thank you.,
L19611, Shep no! He gets so excited when new people are here., I happened to be passing and I thought you might like some corfee.,
L19610, ...but after...awhile...you begin to...  ...get used to it., Shep no! He gets so excited when new people are here.,
L19608, Shep no! I'll bet you have exciting things happen all the time down there., ...but after...awhile...you begin to...  ...get used to it.,
L19607, Yeah something like that but as I say they didn't have time to tell me very much., Shep no! I'll bet you have exciting things happen all the time down there.,
L19606, Something about a plane with no pilot?, Yeah something like that but as I say they didn't have time to tell me very much.,
L19605, Well to tell the truth they really didn't fill me in on many of the details. Just told me to pick up Captain Kramer., Something about a plane with no pilot?,
L19604, Shep sit...sit! So I understand you've got a real emergency down there., Well to tell the truth they really didn't fill me in on many of the details. Just told me to pick up Captain Kramer.,
L19603, Oh yes. Come in Paul. Rex will be right out., Shep sit...sit! So I understand you've got a real emergency down there.,
L19602, Hello I'm Paul Carey from the airline. I'm here to pick up Captain Kramer., Oh yes. Come in Paul. Rex will be right out.,
L19789, Excuse me Doc I've got a plane to land., Hello I'm Paul Carey from the airline. I'm here to pick up Captain Kramer.,
L19788," And the last thing he said to me ""Doc"" he said ""Sometime when the crew is up against it and the breaks are beating the boys tell them to go out there with all they've got and win just one for the Zipper. I don't know where I'll be then Doc"" he said ""but I won't smell too good. That's for sure.""", Excuse me Doc I've got a plane to land.,
L19787, George Zipp said that?," And the last thing he said to me ""Doc"" he said ""Sometime when the crew is up against it and the breaks are beating the boys tell them to go out there with all they've got and win just one for the Zipper. I don't know where I'll be then Doc"" he said ""but I won't smell too good. That's for sure.""",
L19757, I'm doing everything I can! -- And stop calling me Shirley!, George Zipp said that?,
L19756, Surely there must be something you can do., I'm doing everything I can! -- And stop calling me Shirley!,
L19755, I won't deceive you Mister Striker. We're running out of time., Surely there must be something you can do.,
L19754, Yes everything they've got. How are the passengers doing?, I won't deceive you Mister Striker. We're running out of time.,
L19753, Will the hospital equipment be at the airport?, Yes everything they've got. How are the passengers doing?,
L19736, Chicago the passengers are beginning to panic. When do we start down?, Will the hospital equipment be at the airport?,
L19735, ...safe and sound and free to pursue a life of religious fulfillment., Chicago the passengers are beginning to panic. When do we start down?,
L19653, Let's see. Those are the flaps that's the thrust this must turn on the landing lights., ...safe and sound and free to pursue a life of religious fulfillment.,
L19652, Elaine I haven't time to put this gently so I'll be very direct. Everyone of us on this plane is in a desperate situation. Mister Striker is the only hope we've got., Let's see. Those are the flaps that's the thrust this must turn on the landing lights.,
L19633, Well I flew single-engine fighters in the Air Force but this plane has four engines. It's an entirely different kind of flying...<u>all</u> <u>together</u>!!!, Elaine I haven't time to put this gently so I'll be very direct. Everyone of us on this plane is in a desperate situation. Mister Striker is the only hope we've got.,
L19632, I <u>am</u> serious and don't call me Shirley! What flying experience have you had?, Well I flew single-engine fighters in the Air Force but this plane has four engines. It's an entirely different kind of flying...<u>all</u> <u>together</u>!!!,
L19631, Surely you can't be serious., I <u>am</u> serious and don't call me Shirley! What flying experience have you had?,
L19630, Can you fly this airplane and land it?, Surely you can't be serious.,
L19629, Both pilots!, Can you fly this airplane and land it?,
L19554, I'm not sure. I haven't seen anything like this since the Lina Wertmuller Film Festival., Both pilots!,
L19553, What is it Doctor? What's happening?, I'm not sure. I haven't seen anything like this since the Lina Wertmuller Film Festival.,
L19551, No I mean we can't <u>land</u> for another two hours. Fog has closed down everything this side of the mountains. We've got to go through to Chicago!, What is it Doctor? What's happening?,
L19550, You can't take a guess for another two hours?, No I mean we can't <u>land</u> for another two hours. Fog has closed down everything this side of the mountains. We've got to go through to Chicago!,
L19549, Well...not for another two hours., You can't take a guess for another two hours?,
L19548, Can't you take a guess?, Well...not for another two hours.,
L19545, I can't tell., Can't you take a guess?,
L19544, Captain how soon can we land?, I can't tell.,
L19601, I think you ought to know what our chances are. The life of everyone on board depends on just one thing: finding someone back there who not only can fly this plane but who didn't have fish for dinner., Captain how soon can we land?,
L19600, No. No one that I know of., I think you ought to know what our chances are. The life of everyone on board depends on just one thing: finding someone back there who not only can fly this plane but who didn't have fish for dinner.,
L19599, Well..., No. No one that I know of.,
L19598, All right. Unless I can get all these people to a hospital quickly I can't even be sure of saving their lives. Now is there anyone else on board who can land this plane?, Well...,
L19597, No., All right. Unless I can get all these people to a hospital quickly I can't even be sure of saving their lives. Now is there anyone else on board who can land this plane?,
L19596, Elaine you're a member of this crew. Can you face some unpleasant facts?, No.,
L19576, Extremely serious. It starts with a slight fever., Elaine you're a member of this crew. Can you face some unpleasant facts?,
L19575, Just how serious is it doctor?, Extremely serious. It starts with a slight fever.,
L19573, He had fish too., Just how serious is it doctor?,
L19572, Let's see now. The co-pilot had fish. What did the navigator eat?, He had fish too.,
L19571, Doctor Rumack Mister Hammen ate fish. And Randy says there are five more cases and they ate fish too., Let's see now. The co-pilot had fish. What did the navigator eat?,
L19559, He had fish., Doctor Rumack Mister Hammen ate fish. And Randy says there are five more cases and they ate fish too.,
L19558, What did he have?, He had fish.,
L19557, Yes yes I remember. I had lasagna., What did he have?,
L19556, Well we had a choice. Steak or fish., Yes yes I remember. I had lasagna.,
L19555, What was it we had for dinner tonight?, Well we had a choice. Steak or fish.,
L19541, Certainly., What was it we had for dinner tonight?,
L19540, It's a big building with patients. But that's not important right now. Tell the Captain I must speak to him., Certainly.,
L19539, A hospital? What is it?, It's a big building with patients. But that's not important right now. Tell the Captain I must speak to him.,
L19538, You'd better tell the Captain. We've got to land as soon as we can. This woman has to be gotten to a hospital., A hospital? What is it?,
L19534, Yes. Yes of course., You'd better tell the Captain. We've got to land as soon as we can. This woman has to be gotten to a hospital.,
L19533, We have some passengers who are very sick. Could you come and take a look at them?, Yes. Yes of course.,
L19532, That's right., We have some passengers who are very sick. Could you come and take a look at them?,
L19531, Sir. Excuse me sir. I'm sorry to have to wake you. Are you a doctor?, That's right.,
L19857, Uh-huh., Sir. Excuse me sir. I'm sorry to have to wake you. Are you a doctor?,
L19856, See them Elaine?, Uh-huh.,
L19833, The gear is down., See them Elaine?,
L19832, Tell them the gear is down and we're ready to land., The gear is down.,
L19831, I wanted you to know -- now -- I'm very proud., Tell them the gear is down and we're ready to land.,
L19830, Yes?, I wanted you to know -- now -- I'm very proud.,
L19829, Ted..., Yes?,
L19781, I don't care. I just don't have what it takes. They'd be better off with someone who'd never flown before., Ted...,
L19780, But Ted you're the only..., I don't care. I just don't have what it takes. They'd be better off with someone who'd never flown before.,
L19775, Oil pressure. I forgot to check the oil pressure. When Kramer hears about this the shit's gonna hit the fan., But Ted you're the only...,
L19774, What happened Ted? What went wrong?, Oil pressure. I forgot to check the oil pressure. When Kramer hears about this the shit's gonna hit the fan.,
L19773, Rats! I've lost number three., What happened Ted? What went wrong?,
L19693, It's a damn good thing you don't know how much he hates your guts., Rats! I've lost number three.,
L19692, It's a damn good thing he doesn't know how much I hate his guts., It's a damn good thing you don't know how much he hates your guts.,
L19691, Sluggish. Like a wet sponge., It's a damn good thing he doesn't know how much I hate his guts.,
L19690, Sluggish. Like a wet sponge., Sluggish. Like a wet sponge.,
L19689, And a little ice!, Sluggish. Like a wet sponge.,
L19688, And a little ice., And a little ice!,
L19687, Rain., And a little ice.,
L19651, That's what I've been trying to tell these people., Rain.,
L19650, Ted! What are you doing? You can't fly this plane!, That's what I've been trying to tell these people.,
L19514, A lot of people made plans before the war. Like George Zipp., Ted! What are you doing? You can't fly this plane!,
L19513, Ted I don't want to stay here. It's time for us to go back home -- to the plans we made before the war., A lot of people made plans before the war. Like George Zipp.,
L19512, I think they're getting the hang of it! When we re-enlist I'll teach them baseball!, Ted I don't want to stay here. It's time for us to go back home -- to the plans we made before the war.,
L19473, That's Lieutennt Hurwitz. Severe shell shock. He thinks he's Ethel Merman., I think they're getting the hang of it! When we re-enlist I'll teach them baseball!,
L19472, What's his problem?, That's Lieutennt Hurwitz. Severe shell shock. He thinks he's Ethel Merman.,
L19468, Be patient Ted. No one expects you to get over this immediately., What's his problem?,
L19467, I wish I could say the same for George Zipp., Be patient Ted. No one expects you to get over this immediately.,
L19466, Seven. Lieutenant Zipp died this morning. Ted Doctor Sandler says you'll be out in a week. Isn't that wonderful?, I wish I could say the same for George Zipp.,
L19465, Is it? Because of my mistake six men didn't return from that raid., Seven. Lieutenant Zipp died this morning. Ted Doctor Sandler says you'll be out in a week. Isn't that wonderful?,
L19464, It's a big building where the generals meet. But that's not important right now. They've cleared you of any blame for what happened on that raid. Isn't that good news?, Is it? Because of my mistake six men didn't return from that raid.,
L19463, Headquarters!? What is it?, It's a big building where the generals meet. But that's not important right now. They've cleared you of any blame for what happened on that raid. Isn't that good news?,
L19462, You got a telegram from head­quarters today., Headquarters!? What is it?,
L19460, But it won't be. Not as long as you insist on living in the past!, You got a telegram from head­quarters today.,
L19459, That's the way I've always wanted it to be Elaine., But it won't be. Not as long as you insist on living in the past!,
L19458, Mostly I remember...the nights when we were together. I remember how you used to hold me...and how I used to sit on your face and wriggle...and then afterwards how we'd watch until the sun came up. When it did it was almost like...like each new day was created...only for us., That's the way I've always wanted it to be Elaine.,
L19457, I remember everything. All I have are memories., Mostly I remember...the nights when we were together. I remember how you used to hold me...and how I used to sit on your face and wriggle...and then afterwards how we'd watch until the sun came up. When it did it was almost like...like each new day was created...only for us.,
L19456, Elaine just hear me out. I know things haven't been right for a long time. But it will be different...like it was in the beginning. Remember?, I remember everything. All I have are memories.,
L19422, I love you., Elaine just hear me out. I know things haven't been right for a long time. But it will be different...like it was in the beginning. Remember?,
L19421, I love you Elaine., I love you.,
L19420, Oh Ted please be careful. I worry about you so much., I love you Elaine.,
L19419, My orders came through. My squadron ships out tomorrow. I'll be leading a very important mission., Oh Ted please be careful. I worry about you so much.,
L19418, What's the matter?, My orders came through. My squadron ships out tomorrow. I'll be leading a very important mission.,
L19385, You...you shouldn't have come. I don't have time now., What's the matter?,
L19384, Elaine I've got to talk to you., You...you shouldn't have come. I don't have time now.,
L19383, Ted what are you doing here?, Elaine I've got to talk to you.,
L19314, It's too late Ted. When I get back to Chicago I'm going to start my life all over again. I'm sorry., Ted what are you doing here?,
L19313, But if you'll just give me..., It's too late Ted. When I get back to Chicago I'm going to start my life all over again. I'm sorry.,
L19312, It's the truth. What's hurt you the most is your record since the war. Different cities different jobs and not one of them shows you can accept any real responsibility., But if you'll just give me...,
L19311, You expect me to believe that?, It's the truth. What's hurt you the most is your record since the war. Different cities different jobs and not one of them shows you can accept any real responsibility.,
L19310, Your <u>war</u> <u>record</u>? You're the only one keeping that alive. For everyone else it's ancient history., You expect me to believe that?,
L19309, You know I haven't been able to get near an airplane since the war. And even if I could they wouldn't hire me because of my war record., Your <u>war</u> <u>record</u>? You're the only one keeping that alive. For everyone else it's ancient history.,
L19308, Then why don't you take the job that Louie Netz offered you at Boeing?, You know I haven't been able to get near an airplane since the war. And even if I could they wouldn't hire me because of my war record.,
L19307, Elaine not yet. I promise you I really can change., Then why don't you take the job that Louie Netz offered you at Boeing?,
L19306, I won't be back. I've requested the Atlanta run., Elaine not yet. I promise you I really can change.,
L19305, Look you'll be back in town tomorrow night. We'll have dinner -- talk it over., I won't be back. I've requested the Atlanta run.,
L19297, It takes so many things to make love last. Most of all it takes respect. And I can't live with a man I don't respect!, Look you'll be back in town tomorrow night. We'll have dinner -- talk it over.,
L19296, Don't you feel anything for me at all any more?, It takes so many things to make love last. Most of all it takes respect. And I can't live with a man I don't respect!,
L19295, I have been patient and I've tried to help but you wouldn't even let me do that., Don't you feel anything for me at all any more?,
L19294, I know things haven't been right for a long time but it'll be different. If you'll just be patient I can work things out., I have been patient and I've tried to help but you wouldn't even let me do that.,
L19293, I just don't want to go over it any more., I know things haven't been right for a long time but it'll be different. If you'll just be patient I can work things out.,
L19292, I came home early and found your note. I guess you meant for me to read it later. Elaine I've got to talk to you., I just don't want to go over it any more.,
L19291, Ted!, I came home early and found your note. I guess you meant for me to read it later. Elaine I've got to talk to you.,
L19290, Elaine!, Ted!,
L19526, Find out if there's a doctor on board as quietly as you can., Elaine!,
L19525, I think so but I've never seen it so acute., Find out if there's a doctor on board as quietly as you can.,
L19524, Airsick?, I think so but I've never seen it so acute.,
L19504, Who wants to be first?, Airsick?,
L19503, Hey we've been waiting for you. A little bit late tonight., Who wants to be first?,
L19437, Joey can stay up here for a while if he'd like to., Hey we've been waiting for you. A little bit late tonight.,
L19436, We'd better get back now., Joey can stay up here for a while if he'd like to.,
L19425, Hello., We'd better get back now.,
L19424, We have a visitor., Hello.,
L19368, Good-bye darling., We have a visitor.,
L19367, Good-bye darling. I love you. I love you darling., Good-bye darling.,
L19366, Good-bye darling., Good-bye darling. I love you. I love you darling.,
L19365, Bill! Bill! Good-bye Bill., Good-bye darling.,
L19364, So long darling. Good-bye. Take care of yourself., Bill! Bill! Good-bye Bill.,
L19363, Oh Bill I'll keep it. I'll keep it with me all the time., So long darling. Good-bye. Take care of yourself.,
L19362, Good-bye darling., Oh Bill I'll keep it. I'll keep it with me all the time.,
L19333, Every day., Good-bye darling.,
L19332, You promise you'll write., Every day.,
L19331, Oh Bill I'm going to miss you so much., You promise you'll write.,
L19849, All right he's on final now! Put out all runway lights except niner., Oh Bill I'm going to miss you so much.,
L19848, He's right on the heading., All right he's on final now! Put out all runway lights except niner.,
L19825, Watch your altitude Striker. It's too erratic. You can't come straight in. You've got enough fuel left for two hours flying. You've got to stay up there 'til we get a break in the weather., He's right on the heading.,
L19824, He's all over the place! Nine hundred feet up to thirteen hundred feet! What an asshole!, Watch your altitude Striker. It's too erratic. You can't come straight in. You've got enough fuel left for two hours flying. You've got to stay up there 'til we get a break in the weather.,
L19817, You are now eight miles from the airport. Turn right to a heading of zero eight niner throttle back slightly and begin to lose altitude to fifteen hundred feet., He's all over the place! Nine hundred feet up to thirteen hundred feet! What an asshole!,
L19816, Eight miles. Turn right to heading zero eight niner., You are now eight miles from the airport. Turn right to a heading of zero eight niner throttle back slightly and begin to lose altitude to fifteen hundred feet.,
L19809, Runway niner. It's the longest and directly into the wind., Eight miles. Turn right to heading zero eight niner.,
L19808, Did you decide on a runway yet?, Runway niner. It's the longest and directly into the wind.,
L19807, Yes Captain?, Did you decide on a runway yet?,
L19806, And get that finger out of your ear. You don't know where that finger's been! Gunderson?, Yes Captain?,
L19705, Here., And get that finger out of your ear. You don't know where that finger's been! Gunderson?,
L19704, Oh Jack I'm so warm. I'm burning up., Here.,
L19703, How ya doing honey?, Oh Jack I'm so warm. I'm burning up.,
L19518, What is it?, How ya doing honey?,
L19517, Oh I can't stand it., What is it?,
L19330, Well it wasn't all that I had hoped., Oh I can't stand it.,
L19329, What did you think of 'Great Expectations?', Well it wasn't all that I had hoped.,
L19280, Yeah I think he is.  Hey Fred!, What did you think of 'Great Expectations?',
L19279, Jack isn't that Fred Bliffert over there in the blue turtleneck? Maybe he's on our flight to Chicago., Yeah I think he is.  Hey Fred!,
L19454, The hell I don't! I'm out there busting my buns every night., Jack isn't that Fred Bliffert over there in the blue turtleneck? Maybe he's on our flight to Chicago.,
L19453, ...and that you don't really try except during the playoffs., The hell I don't! I'm out there busting my buns every night.,
L19452, We are turning left to a heading of zero- niner-niner., ...and that you don't really try except during the playoffs.,
L19451, ...and that lots of times you don't even run down court., We are turning left to a heading of zero- niner-niner.,
L19450, Denver Control this is Flight two-zero- niner intersecting Victor Airway seven- niner-niner., ...and that lots of times you don't even run down court.,
L19449, I think you're the greatest. But my Dad says you don't work hard enough on defense., Denver Control this is Flight two-zero- niner intersecting Victor Airway seven- niner-niner.,
L19448, I'm an airline pilot.  Ah Clarence according to my calculations with this tailwind we ought to be able to make up an additional fifteen minutes over the Rockies., I think you're the greatest. But my Dad says you don't work hard enough on defense.,
L19445, I think you should go back to your seat now Joey. Right Clarence?, I'm an airline pilot.  Ah Clarence according to my calculations with this tailwind we ought to be able to make up an additional fifteen minutes over the Rockies.,
L19444, You <u>are</u> Kareem. I've seen you play. My Dad's got season tickets!, I think you should go back to your seat now Joey. Right Clarence?,
L19442, I'm sorry son but you must have me confused with someone else. My name is Roger Murdock. I'm the co-pilot., You <u>are</u> Kareem. I've seen you play. My Dad's got season tickets!,
L19441, Wait a minute. I know you. You're Kareem Abdul Jabbar. You play basketball for the Los Angeles Lakers!, I'm sorry son but you must have me confused with someone else. My name is Roger Murdock. I'm the co-pilot.,
L19493, Okay this is one of my favorites., Wait a minute. I know you. You're Kareem Abdul Jabbar. You play basketball for the Los Angeles Lakers!,
L19492, Oh I'd love to., Okay this is one of my favorites.,
L19491, I thought maybe you'd like to hear a song., Oh I'd love to.,
L19490, I'm Lisa. Oh you have a guitar!, I thought maybe you'd like to hear a song.,
L19489, I'm Randy., I'm Lisa. Oh you have a guitar!,
L19488, Hi!, I'm Randy.,
L19570, Oh it's nothing to be alarmed about. We'll get back to you very quickly., Hi!,
L19569, Yes of course. We both had fish. Why?, Oh it's nothing to be alarmed about. We'll get back to you very quickly.,
L19568, Well the doctor will be with you in just a moment. One thing: do you know what he had for dinner?, Yes of course. We both had fish. Why?,
L19567, Oh Stewardess. My husband is very sick. Can you do something please?, Well the doctor will be with you in just a moment. One thing: do you know what he had for dinner?,
L19566, Yes?, Oh Stewardess. My husband is very sick. Can you do something please?,
L19477, I will but Jim won't., Yes?,
L19476, Would either of you like another cup of coffee?, I will but Jim won't.,
L19447, All right. But just remember my name is Roger Murdock., Would either of you like another cup of coffee?,
L19446, No he's not bothering anyone. Let him stay up here., All right. But just remember my name is Roger Murdock.,
L19435, No why don't you take care ot it?, No he's not bothering anyone. Let him stay up here.,
L19434, Do you want me to check the weather Clarence?, No why don't you take care ot it?,
L19376, Roger Roger. What's our vector Victor?, Do you want me to check the weather Clarence?,
L19375, We have clearance Clarence., Roger Roger. What's our vector Victor?,
L19372, Huh?, We have clearance Clarence.,
L19371, Roger., Huh?,
L19370, Huh?, Roger.,
L19369, Roger., Huh?,
L19325, Hi Roger. Good to have you aboard. Victor this is Roger Murdock., Roger.,
L19324, Sorry Clarence. Latest weather report shows everything socked in from Salt Lake to Lincoln., Hi Roger. Good to have you aboard. Victor this is Roger Murdock.,
L19484, Of course., Sorry Clarence. Latest weather report shows everything socked in from Salt Lake to Lincoln.,
L19483, Could I borrow your guitar? I thought I might be able to cheer her up., Of course.,
L19482, Oh yes I saw. Poor child., Could I borrow your guitar? I thought I might be able to cheer her up.,
L19481, There's a little girl on board who's ill and..., Oh yes I saw. Poor child.,
L19480, Yes?, There's a little girl on board who's ill and...,
L19479, Excuse me Sister?, Yes?,
L19828, Thank you Randy. You better leave sweetheart. You might get hurt in here., Excuse me Sister?,
L19827, Mr. Striker the passengers are ready., Thank you Randy. You better leave sweetheart. You might get hurt in here.,
L19625, Would you go up please?, Mr. Striker the passengers are ready.,
L19624, Well I flew in the war but that was a long time ago. I wouldn't know anything about it., Would you go up please?,
L19623, It's the little room at the front of the plane where the pilots sit. But that's not important right now. The first officer is ill and the Captain would like someone with flying experience to help him with the radio. Do you know anything about planes?, Well I flew in the war but that was a long time ago. I wouldn't know anything about it.,
L19622, The cockpit? What is it?, It's the little room at the front of the plane where the pilots sit. But that's not important right now. The first officer is ill and the Captain would like someone with flying experience to help him with the radio. Do you know anything about planes?,
L19621, Excuse me sir. There's been a little problem in the cockpit and I was wondering..., The cockpit? What is it?,
L19475, No. No thank you., Excuse me sir. There's been a little problem in the cockpit and I was wondering...,
L19474, Excuse me sir. Would you like some coffee before we serve dinner?, No. No thank you.,
L19378, Oh -- I haven't flown for a long time., Excuse me sir. Would you like some coffee before we serve dinner?,
L19377, Do you feel all right sir?, Oh -- I haven't flown for a long time.,
L19344, Thank you., Do you feel all right sir?,
L19343, Fourteen-B. It's halfway down on your right., Thank you.,
L24643, Yeah..., Fourteen-B. It's halfway down on your right.,
L24642, You okay?, Yeah...,
L24424, Your voice is saying no but your body is saying yes., You okay?,
L24423, I like my horizons narrow., Your voice is saying no but your body is saying yes.,
L24422, I think you're just a little scared now about what you might find once the lights go out.  A little scared... and a lot curious.  Maybe more than you want to admit.  But doesn't that turn you on that curiosity and fear swirling together?  Think of it as broadening your horizons., I like my horizons narrow.,
L24421, There's lots of things I haven't done but his ain't high on the list.  Don't take it personally., I think you're just a little scared now about what you might find once the lights go out.  A little scared... and a lot curious.  Maybe more than you want to admit.  But doesn't that turn you on that curiosity and fear swirling together?  Think of it as broadening your horizons.,
L24420, A virgin.  I find that very arousing..., There's lots of things I haven't done but his ain't high on the list.  Don't take it personally.,
L24419, Not unless I got real drunk and nobody told me about it later., A virgin.  I find that very arousing...,
L24418, I know... Why don't you hang around for a while let me entertain you? It's Matt right?  Now tell me the truth have you ever... made it... with one of us?, Not unless I got real drunk and nobody told me about it later.,
L24417, Todd?  Todd doesn't know either., I know... Why don't you hang around for a while let me entertain you? It's Matt right?  Now tell me the truth have you ever... made it... with one of us?,
L24416, The girl out front mentioned Strader's assistant somebody named Watson.  Maybe he knows., Todd?  Todd doesn't know either.,
L24415, Look I don't know where Mr. Strader might be.  He comes and he goes., The girl out front mentioned Strader's assistant somebody named Watson.  Maybe he knows.,
L24413, You've got me all wrong.  I don't charge money for something that I myself find pleasurable..., Look I don't know where Mr. Strader might be.  He comes and he goes.,
L24412, Does that cost extra or you throw them in?, You've got me all wrong.  I don't charge money for something that I myself find pleasurable...,
L24411, Oooh.  Hardball.  That sounds interesting.  Are you going to strike me?  You could tie me up and then do whatever you want with me... I've got my own ropes., Does that cost extra or you throw them in?,
L24616, Show me., Oooh.  Hardball.  That sounds interesting.  Are you going to strike me?  You could tie me up and then do whatever you want with me... I've got my own ropes.,
L24615, In there., Show me.,
L24408, She did did she?  Well she was wrong.  Excuse me I have to change., In there.,
L24407, The young woman at the front said you might know where he is., She did did she?  Well she was wrong.  Excuse me I have to change.,
L24406, He's not here.  Why ask me?, The young woman at the front said you might know where he is.,
L24404, Ss'ai k'ss?  Perfect., He's not here.  Why ask me?,
L24403, We are with the Police Department. This is Sergeant Sykes and I am--, Ss'ai k'ss?  Perfect.,
L24402, That's right., We are with the Police Department. This is Sergeant Sykes and I am--,
L24401, You are Cassandra?, That's right.,
L24530, I may be an asshole but at least I'm a real detective not some outer shit space thing., You are Cassandra?,
L24529, Lay off asshole., I may be an asshole but at least I'm a real detective not some outer shit space thing.,
L24528, Well if it isn't Detective Jetson. Forget you hip waders big guy?, Lay off asshole.,
L24526, I'd like to see you next to a sea of hydrochloric acid Fedorchuk... see how much surfin' you'd do., Well if it isn't Detective Jetson. Forget you hip waders big guy?,
L24525, Look at your dildo partner.  He's too scared to even come down to the sand.  You're not gonna get wet standing here moron!, I'd like to see you next to a sea of hydrochloric acid Fedorchuk... see how much surfin' you'd do.,
L24192, You ever try to make a case in Slagtown?  The list of Newcomer informants is about as long as the list of Mexican war heroes..., Look at your dildo partner.  He's too scared to even come down to the sand.  You're not gonna get wet standing here moron!,
L24191, You don't have squat., You ever try to make a case in Slagtown?  The list of Newcomer informants is about as long as the list of Mexican war heroes...,
L24190, Jesus Sykes -- it's been less than ten hours.  Me and Alterez are on it okay?, You don't have squat.,
L24189, So what've you got on Tuggle's killers?, Jesus Sykes -- it's been less than ten hours.  Me and Alterez are on it okay?,
L24655, No Sergeant -- not history...  Eternity..., So what've you got on Tuggle's killers?,
L24654, Move a finger Harcourt and you're history..., No Sergeant -- not history...  Eternity...,
L24316, That's right.  He and I along with seven or eight others.  Listen gentlemen I will be happy to assist you in any way I can -- unfortunately at the moment I'm overdue at another function., Move a finger Harcourt and you're history...,
L24315, You were partners with him on some Slag -- uh Newcomer real estate thing., That's right.  He and I along with seven or eight others.  Listen gentlemen I will be happy to assist you in any way I can -- unfortunately at the moment I'm overdue at another function.,
L24314, Yes I heard about poor Warren. Tragic., You were partners with him on some Slag -- uh Newcomer real estate thing.,
L24309, Sergeant... Detective.  I wasn't aware there were any Newcomers at the rank of Detective yet., Yes I heard about poor Warren. Tragic.,
L24308, I'm Sergeant Sykes and this is Detective Jetson Los Angeles Police Department., Sergeant... Detective.  I wasn't aware there were any Newcomers at the rank of Detective yet.,
L24307, Yes..., I'm Sergeant Sykes and this is Detective Jetson Los Angeles Police Department.,
L24306, William Harcourt?, Yes...,
L24640, Do it!, William Harcourt?,
L24639, Here?, Do it!,
L24638, Kill them both., Here?,
L24464, This is getting out of hand.  I want you to deal with it.  Immediately., Kill them both.,
L24463, When we picked him up he was talking to those two cops -- the two who came to question you about Hubley., This is getting out of hand.  I want you to deal with it.  Immediately.,
L24326, It is his new partner that I'm worried about., When we picked him up he was talking to those two cops -- the two who came to question you about Hubley.,
L24325, He didn't recognize me., It is his new partner that I'm worried about.,
L24324, This is becoming a serious breach of security., He didn't recognize me.,
L24323, That cop the human he was the one who killed Anderson and the driver., This is becoming a serious breach of security.,
L24700, You look very good., That cop the human he was the one who killed Anderson and the driver.,
L24699, How do I look?, You look very good.,
L24686, You understand that.  But how many others will?, How do I look?,
L24685, But there's no more drug., You understand that.  But how many others will?,
L24684, Because... because of what will happen if humans see what we are capable of becoming., But there's no more drug.,
L24683, Why the hell are you so dead set against back-up?, Because... because of what will happen if humans see what we are capable of becoming.,
L24682, We can't let him get away., Why the hell are you so dead set against back-up?,
L24681, I never thought I'd say this but -- for once in my life I think I'm willing to wait for back-up., We can't let him get away.,
